"locus_tag","logFC","logCPM","F","PValue","FDR","gene_name","spi","DE"
"SL1344_1118",-3.44213402077294,7.62365080096128,367.781873825717,6.37897485436121e-08,2.39294761058385e-06,"flgI","-","Attenuated"
"SL1344_1240",-3.24552955105304,6.34509118275921,364.890661514635,6.57758919712048e-08,2.44618274106705e-06,"astD","-","Attenuated"
"SL1344_0083",3.70048639598688,7.81860067367572,362.705091204881,6.73289040741864e-08,2.46243113110431e-06,"STM0082",NA,"Amplified"
"SL1344_2460",-4.05121959049746,7.87495615699536,361.803568477323,6.79828699368875e-08,2.46243113110431e-06,"uraA","-","Attenuated"
"SL1344_2793",5.86728860959476,7.74152334854844,361.109135283702,6.84920444968377e-08,2.46243113110431e-06,"nrdF","-","Amplified"
"SL1344_1303",3.63492433141483,6.44056261369062,361.10376854045,6.84959980835691e-08,2.46243113110431e-06,"sufA","-","Amplified"
"SL1344_3094",7.86687184277085,11.5821381198896,360.191753658463,6.91720357923958e-08,2.46618316039996e-06,"STM3120",NA,"Amplified"
"SL1344_0004",3.1319613768512,9.38988576145328,358.876304568514,7.01619113013466e-08,2.4809711914263e-06,"thrC","-","Amplified"
"SL1344_1532",5.0721607349782,9.54815502575502,357.763639182195,7.1013077475614e-08,2.48184258409709e-06,"sifB",NA,"Amplified"
"SL1344_3729",7.25249556268155,7.78969445554379,357.237863186819,7.14197843611912e-08,2.48184258409709e-06,"mgtC",NA,"Amplified"
"SL1344_1340",4.16411264585553,8.89773453764015,356.097237609119,7.23121781269789e-08,2.48184258409709e-06,"ssaG","SPI-2","Amplified"
"SL1344_1347",5.03201161246342,8.76021778019753,355.31777235713,7.29300525458968e-08,2.48184258409709e-06,"ssaM","SPI-2","Amplified"
"SL1344_1900",-5.10487451192352,7.00952039760096,355.151070916035,7.30630524293766e-08,2.48184258409709e-06,"fliH","-","Attenuated"
"SL1344_4196",-8.11128896305852,10.6373838715347,356.866821306959,7.65356392752064e-08,2.57949021744719e-06,"siiD","SPI-4","Attenuated"
"SL1344_1343",5.01338362852199,10.6520143861568,349.517948765542,7.77415099733755e-08,2.59982072887707e-06,"ssaJ",NA,"Amplified"
"SL1344_2852",-7.17836438283549,10.0214238774682,341.121898443676,8.5433824703251e-08,2.83508861361404e-06,"prgJ","SPI-1","Attenuated"
"SL1344_3569",-3.92578621014123,8.84066702336771,330.771870094646,9.62774945997775e-08,3.17054283743084e-06,"STM3604",NA,"Attenuated"
"SL1344_2871",-6.80720364825457,9.30738037860385,326.259802144215,1.01610090004782e-07,3.28057970249975e-06,"invJ","SPI-1","Attenuated"
"SL1344_1723",-3.48659701822438,9.62715570881562,325.324961634409,1.02678061716763e-07,3.28057970249975e-06,"STM1795",NA,"Attenuated"
"SL1344_0302",3.28473828491955,10.1229858966214,324.949145794799,1.03139058313369e-07,3.28057970249975e-06,"pagN","SPI-6","Amplified"
"SL1344_1850",-4.36428758910234,8.3916995489568,324.776745715816,1.03351401139904e-07,3.28057970249975e-06,"cheZ","-","Attenuated"
"SL1344_2792",7.51770678965727,8.35952976676366,335.509286506253,1.03421149638379e-07,3.28057970249975e-06,"nrdE","-","Amplified"
"SL1344_2229",-4.75757175295474,8.80293454152975,322.085710218336,1.06738016077256e-07,3.31256089764238e-06,"napA","-","Attenuated"
"SL1344_3203",-2.70072941682584,7.10184641425263,322.064466969378,1.06765298854225e-07,3.31256089764238e-06,"yqjK","-","Attenuated"
"SL1344_1110",-4.45709125337074,7.1959200242008,321.762642772752,1.07153878022095e-07,3.31256089764238e-06,"flgA","-","Attenuated"
